Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Méroc E., Fröberg J., Almasi T., Winje B.A., Orrico-Sánchez A., Steens A., McDonald S.A., Bollaerts K., Knol M.J.","23485758100;57222334899;57195977661;16641244300;57203963864;15844143200;8974107300;15126894700;16316301900;","European data sources for computing burden of (potential) vaccine-preventable diseases in ageing adults",2021,"BMC Infectious Diseases","21","1","345","","",,3,"10.1186/s12879-021-06017-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104316310&doi=10.1186%2fs12879-021-06017-7&partnerID=40&md5=154d3bd90640da364d2be813285f4ddb","P95 Epidemiology and Pharmacovigilance, Koning Leopold III laan 1, Leuven, 3001, Belgium; Radboud University Medical Center, Radboud Institute for Molecular Life Sciences, Laboratory of Medical Immunology, Section Paediatric Infectious Diseases, Geert Grooteplein 21, Nijmegen, 6525 EZ, Netherlands; Syreon Research Institute, Mexikoi str. 65/A, Budapest, 1142, Hungary; Department of Infection Control and Vaccine, Norwegian Institute of Public Health, PO Box 222, Skøyen, Oslo, 0213, Norway; Vaccines Research Unit, FISABIO (the Valencia Foundation for the Promotion of Health and Biomedical Research), Av. Catalunya, 21, Valencia, 46020, Spain; Centre for Infectious Disease Control, National Institute for Public Health and the Environment (RIVM), PO Box 1, Bilthoven, 3720 BA, Netherlands","Méroc, E., P95 Epidemiology and Pharmacovigilance, Koning Leopold III laan 1, Leuven, 3001, Belgium; Fröberg, J., Radboud University Medical Center, Radboud Institute for Molecular Life Sciences, Laboratory of Medical Immunology, Section Paediatric Infectious Diseases, Geert Grooteplein 21, Nijmegen, 6525 EZ, Netherlands; Almasi, T., Syreon Research Institute, Mexikoi str. 65/A, Budapest, 1142, Hungary; Winje, B.A., Department of Infection Control and Vaccine, Norwegian Institute of Public Health, PO Box 222, Skøyen, Oslo, 0213, Norway; Orrico-Sánchez, A., Vaccines Research Unit, FISABIO (the Valencia Foundation for the Promotion of Health and Biomedical Research), Av. Catalunya, 21, Valencia, 46020, Spain; Steens, A., Department of Infection Control and Vaccine, Norwegian Institute of Public Health, PO Box 222, Skøyen, Oslo, 0213, Norway; McDonald, S.A., Centre for Infectious Disease Control, National Institute for Public Health and the Environment (RIVM), PO Box 1, Bilthoven, 3720 BA, Netherlands; Bollaerts, K., P95 Epidemiology and Pharmacovigilance, Koning Leopold III laan 1, Leuven, 3001, Belgium; Knol, M.J., Centre for Infectious Disease Control, National Institute for Public Health and the Environment (RIVM), PO Box 1, Bilthoven, 3720 BA, Netherlands","Méroc, E.; P95 Epidemiology and Pharmacovigilance, Koning Leopold III laan 1, Belgium; email: estelle.meroc@p-95.com",,"BioMed Central Ltd",14712334,,BIDMB,"33849461","English","BMC Infect. Dis.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85104316310
"Brainard J., Weston D., Leach S., Hunter P.R.","55412585100;54400611100;57197933382;17135089100;","Factors that influence treatment-seeking expectations in response to infectious intestinal disease: Original survey and multinomial regression",2020,"Journal of Infection and Public Health","13","4",,"502","508",,2,"10.1016/j.jiph.2019.10.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076593256&doi=10.1016%2fj.jiph.2019.10.007&partnerID=40&md5=b76641607e7d4c12ea8283b4ac934bc2","Norwich Medical School, University of East Anglia, Norwich, NR4 7TJ, United Kingdom; Emergency Response Department, Public Health England, Porton Down, Salisbury, United Kingdom","Brainard, J., Norwich Medical School, University of East Anglia, Norwich, NR4 7TJ, United Kingdom; Weston, D., Emergency Response Department, Public Health England, Porton Down, Salisbury, United Kingdom; Leach, S., Emergency Response Department, Public Health England, Porton Down, Salisbury, United Kingdom; Hunter, P.R., Norwich Medical School, University of East Anglia, Norwich, NR4 7TJ, United Kingdom","Brainard, J.; Norwich Medical School, United Kingdom; email: j.brainard@uea.ac.uk",,"Elsevier Ltd",18760341,,,"31818708","English","J. Infect. Public Health",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85076593256
"Mihala G., Grimwood K., Morley C., Lambert S.B., Ware R.S.","55521192100;7005253775;57201323204;57223132866;57208122739;","Effect of Definitions of Acute Gastroenteritis Episodes Using Symptom Diaries in Paediatric Cohorts: A Systematic Review",2020,"Journal of Pediatric Gastroenterology and Nutrition","70","3",,"E54","E58",,4,"10.1097/MPG.0000000000002584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081125744&doi=10.1097%2fMPG.0000000000002584&partnerID=40&md5=0f7dd3c3a63596ca42553d60de30c185","Menzies Health Institute Queensland and School of Medicine, Griffith University, N78 2.34, Nathan, QLD  4111, Australia; Departments of Infectious Diseases and Paediatrics, Gold Coast Health, Gold Coast, Australia; Child Health Research Centre, School of Medicine, University of Queensland, Brisbane, Australia","Mihala, G., Menzies Health Institute Queensland and School of Medicine, Griffith University, N78 2.34, Nathan, QLD  4111, Australia; Grimwood, K., Menzies Health Institute Queensland and School of Medicine, Griffith University, N78 2.34, Nathan, QLD  4111, Australia, Departments of Infectious Diseases and Paediatrics, Gold Coast Health, Gold Coast, Australia; Morley, C., Departments of Infectious Diseases and Paediatrics, Gold Coast Health, Gold Coast, Australia; Lambert, S.B., Child Health Research Centre, School of Medicine, University of Queensland, Brisbane, Australia; Ware, R.S., Menzies Health Institute Queensland and School of Medicine, Griffith University, N78 2.34, Nathan, QLD  4111, Australia","Mihala, G.; Menzies Health Institute Queensland and School of Medicine, N78 2.34, Australia; email: g.mihala@griffith.edu.au",,"Lippincott Williams and Wilkins",02772116,,JPGND,"31834113","English","J. Pediatr. Gastroenterol. Nutr.",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85081125744
"Al Alkeem F., Loney T., Aziz F., Blair I., Sonnevend Á., Sheek-Hussein M.","57209713127;23473621400;57210947885;36135892600;6507597004;15741662500;","Prevalence and factors associated with infectious intestinal diseases in Ras Al Khaimah, United Arab Emirates, 2017: A population-based cross-sectional study",2019,"International Journal of Infectious Diseases","85",,,"188","194",,1,"10.1016/j.ijid.2019.06.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068535639&doi=10.1016%2fj.ijid.2019.06.004&partnerID=40&md5=5a59cd02b1b0cf0d9bf3e2f2b53bf3d7","Institute of Public Health, College of Medicine and Health Sciences, United Arab Emirates University, PO Box 17666, Al Ain, United Arab Emirates; College of Medicine, Mohammed Bin Rashid University of Medicine and Health Sciences, Dubai, PO Box 505055, Dubai, United Arab Emirates; Department of Microbiology and Immunology, College of Medicine and Health Sciences, United Arab Emirates University, PO Box 17666, Al Ain, United Arab Emirates","Al Alkeem, F., Institute of Public Health, College of Medicine and Health Sciences, United Arab Emirates University, PO Box 17666, Al Ain, United Arab Emirates; Loney, T., College of Medicine, Mohammed Bin Rashid University of Medicine and Health Sciences, Dubai, PO Box 505055, Dubai, United Arab Emirates; Aziz, F., Institute of Public Health, College of Medicine and Health Sciences, United Arab Emirates University, PO Box 17666, Al Ain, United Arab Emirates; Blair, I., Institute of Public Health, College of Medicine and Health Sciences, United Arab Emirates University, PO Box 17666, Al Ain, United Arab Emirates; Sonnevend, Á., Department of Microbiology and Immunology, College of Medicine and Health Sciences, United Arab Emirates University, PO Box 17666, Al Ain, United Arab Emirates; Sheek-Hussein, M., Institute of Public Health, College of Medicine and Health Sciences, United Arab Emirates University, PO Box 17666, Al Ain, United Arab Emirates","Sheek-Hussein, M.; Institute of Public Health, PO Box 17666, United Arab Emirates; email: msheekhussein@uaeu.ac.ae",,"Elsevier B.V.",12019712,,IJIDF,"31202907","English","Int. J. Infect. Dis.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85068535639
"Harris J.P., Iturriza-Gomara M., Allen D.J., Kelly S., O'Brien S.J.","55740159900;55663205600;23975451500;57205557570;7402355171;","Norovirus strain types found within the second infectious intestinal diseases (IID2) study an analysis of norovirus circulating in the community",2019,"BMC Infectious Diseases","19","1","87","","",,10,"10.1186/s12879-019-3706-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060511944&doi=10.1186%2fs12879-019-3706-z&partnerID=40&md5=bf6121337271b2e211c452637eaf7ac9","University of Liverpool, Instutue of Population Health Sciences, Liverpool, United Kingdom; University of Liverpool, Institute of Global Health, Liverpool, United Kingdom; London School of Hygiene and Tropical Medicine, Liverpool, United Kingdom; NIHR HPRU in Gastrointestinal Infections, Liverpool, United Kingdom; Modelling, Evidence and Policy Research Group, School of Natural and Environmental Sciences, Newcastle University, Newcastle upon Tyne, United Kingdom","Harris, J.P., University of Liverpool, Instutue of Population Health Sciences, Liverpool, United Kingdom, NIHR HPRU in Gastrointestinal Infections, Liverpool, United Kingdom; Iturriza-Gomara, M., University of Liverpool, Institute of Global Health, Liverpool, United Kingdom, NIHR HPRU in Gastrointestinal Infections, Liverpool, United Kingdom; Allen, D.J., London School of Hygiene and Tropical Medicine, Liverpool, United Kingdom, NIHR HPRU in Gastrointestinal Infections, Liverpool, United Kingdom; Kelly, S., University of Liverpool, Institute of Global Health, Liverpool, United Kingdom; O'Brien, S.J., University of Liverpool, Instutue of Population Health Sciences, Liverpool, United Kingdom, NIHR HPRU in Gastrointestinal Infections, Liverpool, United Kingdom, Modelling, Evidence and Policy Research Group, School of Natural and Environmental Sciences, Newcastle University, Newcastle upon Tyne, United Kingdom","Harris, J.P.; University of Liverpool, United Kingdom; email: john.harris@liverpool.ac.uk",,"BioMed Central Ltd.",14712334,,BIDMB,"30683063","English","BMC Infect. Dis.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85060511944
"Schmidt M.A., Groom H.C., Naleway A.L., Biggs C., Salas S.B., Shioda K., Marsh Z., Donald J.L., Hall A.J.","55910218000;22957917200;6506058734;36631589700;57203586266;57196089631;57193661990;56094978000;9241843500;","A model for rapid, active surveillance for medically-attended acute gastroenteritis within an integrated health care delivery system",2018,"PLoS ONE","13","8","e0201805","","",,9,"10.1371/journal.pone.0201805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052390281&doi=10.1371%2fjournal.pone.0201805&partnerID=40&md5=7fa6bb61d38d43af46364880f3f79b1d","Center for Health Research, Kaiser Permanente Northwest, Portland, OR, United States; Oregon State Public Health Laboratory, Public Health Division, Oregon Health Authority, Hillsboro, OR, United States; Division of Viral Diseases, Centers for Disease Control and Prevention, Atlanta, GA, United States","Schmidt, M.A., Center for Health Research, Kaiser Permanente Northwest, Portland, OR, United States; Groom, H.C., Center for Health Research, Kaiser Permanente Northwest, Portland, OR, United States; Naleway, A.L., Center for Health Research, Kaiser Permanente Northwest, Portland, OR, United States; Biggs, C., Oregon State Public Health Laboratory, Public Health Division, Oregon Health Authority, Hillsboro, OR, United States; Salas, S.B., Center for Health Research, Kaiser Permanente Northwest, Portland, OR, United States; Shioda, K., Division of Viral Diseases, Centers for Disease Control and Prevention, Atlanta, GA, United States; Marsh, Z., Division of Viral Diseases, Centers for Disease Control and Prevention, Atlanta, GA, United States; Donald, J.L., Center for Health Research, Kaiser Permanente Northwest, Portland, OR, United States; Hall, A.J., Division of Viral Diseases, Centers for Disease Control and Prevention, Atlanta, GA, United States","Schmidt, M.A.; Center for Health Research, United States; email: mark.a.schmidt@kpchr.org",,"Public Library of Science",19326203,,POLNC,"30075030","English","PLoS ONE",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85052390281
"Gaythorpe K.A.M., Trotter C.L., Lopman B., Steele M., Conlan A.J.K.","57200408669;7005753490;6701349763;57191865493;16835956700;","Norovirus transmission dynamics: A modelling review",2018,"Epidemiology and Infection","146","2",,"147","158",,35,"10.1017/S0950268817002692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041221359&doi=10.1017%2fS0950268817002692&partnerID=40&md5=b5cf0b3d13b22122f37d800922790c7a","Department of Veterinary Medicine, University of Cambridge, Cambridge, United Kingdom; Department of Epidemiology, Emory University, Atlanta, GA, United States","Gaythorpe, K.A.M., Department of Veterinary Medicine, University of Cambridge, Cambridge, United Kingdom; Trotter, C.L., Department of Veterinary Medicine, University of Cambridge, Cambridge, United Kingdom; Lopman, B., Department of Epidemiology, Emory University, Atlanta, GA, United States; Steele, M., Department of Epidemiology, Emory University, Atlanta, GA, United States; Conlan, A.J.K., Department of Veterinary Medicine, University of Cambridge, Cambridge, United Kingdom","Gaythorpe, K.A.M.; Department of Veterinary Medicine, United Kingdom; email: kamg2@cam.ac.uk",,"Cambridge University Press",09502688,,EPINE,"29268812","English","Epidemiol. Infect.",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85041221359
"Justus B.P., Claudia S., Kathrin S., Daniel M.","57200414521;57200419926;57200412164;57200416303;","Time trends of positivity rates from foodborne pathogen testing in Switzerland, 2003 to 2012",2017,"Swiss Medical Weekly","147","51-52","w14569","","",,1,"10.4414/smw.2017.14569","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041204452&doi=10.4414%2fsmw.2017.14569&partnerID=40&md5=718cf05e2eac321b691c818039fc5f7e","Swiss Tropical and Public Health Institute, Basel, Switzerland; University of Basel, Switzerland; Socinstrasse 57, P.O. Box, Basel, CH-4002, Switzerland","Justus, B.P., Swiss Tropical and Public Health Institute, Basel, Switzerland, University of Basel, Switzerland; Claudia, S., Swiss Tropical and Public Health Institute, Basel, Switzerland, University of Basel, Switzerland; Kathrin, S., Swiss Tropical and Public Health Institute, Basel, Switzerland, University of Basel, Switzerland; Daniel, M., Swiss Tropical and Public Health Institute, Basel, Switzerland, University of Basel, Switzerland, Socinstrasse 57, P.O. Box, Basel, CH-4002, Switzerland","Daniel, M.; Swiss Tropical and Public Health InstituteSwitzerland; email: daniel.maeusezahl@swis-stph.ch",,"EMH Schweizerischer Arzteverlag AG",14247860,,SMWWA,"29282700","English","Swiss Med. Wkly",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85041204452
"De Lusignan S., Shinneman S., Yonova I., Van Vlymen J., Elliot A.J., Bolton F., Smith G.E., O'Brien S.","7003334937;57201942010;55341191500;8509343000;8616054400;7006944386;57208433940;57208699804;","An ontology to improve transparency in case definition and increase case finding of infectious intestinal disease: Database study in english general practice",2017,"JMIR Medical Informatics","5","3","e34","","",,9,"10.2196/medinform.7641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048851836&doi=10.2196%2fmedinform.7641&partnerID=40&md5=9c0213563bea523f926b50dc73c930a2","Section of Clinical Medicine and Ageing, Department of Clinical and Experimental Medicine, University of Surrey, Guildford, United Kingdom; Royal College of General Practitioners, Research and Surveillance Centre, London, United Kingdom; Real-time Syndromic Surveillance Team, National Infection Service, Public Health England, Birmingham, United Kingdom; Epidemiology and Population Health, University of Liverpool, Liverpool, United Kingdom; Institute of Psychology Health and Society, University of Liverpool, Liverpool, United Kingdom","De Lusignan, S., Section of Clinical Medicine and Ageing, Department of Clinical and Experimental Medicine, University of Surrey, Guildford, United Kingdom, Royal College of General Practitioners, Research and Surveillance Centre, London, United Kingdom; Shinneman, S., Section of Clinical Medicine and Ageing, Department of Clinical and Experimental Medicine, University of Surrey, Guildford, United Kingdom; Yonova, I., Section of Clinical Medicine and Ageing, Department of Clinical and Experimental Medicine, University of Surrey, Guildford, United Kingdom, Royal College of General Practitioners, Research and Surveillance Centre, London, United Kingdom; Van Vlymen, J., Section of Clinical Medicine and Ageing, Department of Clinical and Experimental Medicine, University of Surrey, Guildford, United Kingdom; Elliot, A.J., Real-time Syndromic Surveillance Team, National Infection Service, Public Health England, Birmingham, United Kingdom; Bolton, F., Epidemiology and Population Health, University of Liverpool, Liverpool, United Kingdom; Smith, G.E., Real-time Syndromic Surveillance Team, National Infection Service, Public Health England, Birmingham, United Kingdom; O'Brien, S., Institute of Psychology Health and Society, University of Liverpool, Liverpool, United Kingdom","De Lusignan, S.; Section of Clinical Medicine and Ageing, United Kingdom; email: s.lusignan@surrey.ac.uk",,"JMIR Publications Inc.",22919694,,,,"English","JMIR Med. Inform.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85048851836
"Rose T.C., Adams N.L., Barr B., Hawker J., O'Brien S.J., Violato M., Whitehead M., Taylor-Robinson D.C.","56710965100;56061497200;50261023500;7005311085;7402355171;33867792000;7201719460;23475904400;","Socioeconomic status is associated with symptom severity and sickness absence in people with infectious intestinal disease in the UK",2017,"BMC Infectious Diseases","17","1","447","","",,14,"10.1186/s12879-017-2551-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021192000&doi=10.1186%2fs12879-017-2551-1&partnerID=40&md5=7a59898a5ea1c11ff2c6ad9f53f09826","NIHR Health Protection Research Unit in Gastrointestinal Infections, Liverpool, United Kingdom; University of Liverpool, Department of Public Health and Policy, Liverpool, United Kingdom; Public Health England, National Infection Service, London/Birmingham, United Kingdom; University of Oxford, Health Economics Research Centre, Oxford, United Kingdom; University of Liverpool, Department of Public Health and Policy Institute of Psychology, Health and Society, Whelan Building, Liverpool, L69 3GB, United Kingdom","Rose, T.C., NIHR Health Protection Research Unit in Gastrointestinal Infections, Liverpool, United Kingdom, University of Liverpool, Department of Public Health and Policy, Liverpool, United Kingdom, University of Liverpool, Department of Public Health and Policy Institute of Psychology, Health and Society, Whelan Building, Liverpool, L69 3GB, United Kingdom; Adams, N.L., NIHR Health Protection Research Unit in Gastrointestinal Infections, Liverpool, United Kingdom, University of Liverpool, Department of Public Health and Policy, Liverpool, United Kingdom, Public Health England, National Infection Service, London/Birmingham, United Kingdom; Barr, B., NIHR Health Protection Research Unit in Gastrointestinal Infections, Liverpool, United Kingdom, University of Liverpool, Department of Public Health and Policy, Liverpool, United Kingdom; Hawker, J., NIHR Health Protection Research Unit in Gastrointestinal Infections, Liverpool, United Kingdom, Public Health England, National Infection Service, London/Birmingham, United Kingdom; O'Brien, S.J., NIHR Health Protection Research Unit in Gastrointestinal Infections, Liverpool, United Kingdom, University of Liverpool, Department of Public Health and Policy, Liverpool, United Kingdom; Violato, M., NIHR Health Protection Research Unit in Gastrointestinal Infections, Liverpool, United Kingdom, University of Oxford, Health Economics Research Centre, Oxford, United Kingdom; Whitehead, M., NIHR Health Protection Research Unit in Gastrointestinal Infections, Liverpool, United Kingdom, University of Liverpool, Department of Public Health and Policy, Liverpool, United Kingdom; Taylor-Robinson, D.C., NIHR Health Protection Research Unit in Gastrointestinal Infections, Liverpool, United Kingdom, University of Liverpool, Department of Public Health and Policy, Liverpool, United Kingdom","Rose, T.C.; NIHR Health Protection Research Unit in Gastrointestinal InfectionsUnited Kingdom; email: Tanith.Rose@liverpool.ac.uk",,"BioMed Central Ltd.",14712334,,BIDMB,"28645256","English","BMC Infect. Dis.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85021192000
