ref_id,type,author,title,year,country,primary,citations,mentionsO,mentionsP,views,downloads
1,JA,OBrien,methods for determining disease burden and calibrating national surveillance data in the united kingdom the second study of infectious intestinal disease in the community iid2 study,2010,United Kingdom,1,41,0,0,8571,0
2,JA,Mroc,european data sources for computing burden of potential vaccinepreventable diseases in ageing adults,2021,Belgium,NA,NA,NA,NA,NA,NA
3,JA,Harris,norovirus strain types found within the second infectious intestinal diseases iid2 study an analysis of norovirus circulating in the community,2019,United Kingdom,NA,NA,NA,NA,NA,NA
4,JA,Adams,social patterning of telephone healthadvice for diarrhoea and vomiting analysis of 24 million telehealth calls in england,2020,United Kingdom,NA,NA,NA,NA,NA,NA
5,JA,Schmidt,a model for rapid active surveillance for medicallyattended acute gastroenteritis within an integrated health care delivery system,2019,United States of America,NA,NA,NA,NA,NA,NA
6,JA,Zarebski,model selection for seasonal influenza forecasting,2020,Australia,NA,NA,NA,NA,NA,NA
7,JA,Collez,a methodological framework for the evaluation of syndromic surveillance systems a case study of england,2019,United Kingdom,NA,NA,NA,NA,NA,NA
8,JA,Gaythorpe,norovirus transmission dynamics a modelling review,2018,United Kingdom,NA,NA,NA,NA,NA,NA
9,JA,de Lusignan,an ontology to improve transparency in case definition and increase case finding of infectious intestinal disease database study in english general practice,2024,United Kingdom,NA,NA,NA,NA,NA,NA
10,JA,Rose,socioeconomic status is associated with symptom severity and sickness absence in people with infectious intestinal disease in the uk,2017,United Kingdom,NA,NA,NA,NA,NA,NA
11,JA,Harris,reassessing the total burden of norovirus circulating in the united kingdom population,2017,United Kingdom,NA,NA,NA,NA,NA,NA
12,JA,Jansen van Rensburg,exploiting bacterial wholegenome sequencing data for evaluation of diagnostic assays campylobacter species identification as a case study,2017,United Kingdom,NA,NA,NA,NA,NA,NA
13,JA,Moss,retrospective forecasting of the 20102014 melbourne influenza seasons using multiple surveillance systems,2017,Australia,NA,NA,NA,NA,NA,NA
14,JA,OBrien,modelling study to estimate the health burden of foodborne diseases cases general practice consultations and hospitalisations in the uk 2009,2017,United Kingdom,NA,NA,NA,NA,NA,NA
15,JA,Allen,early detection of epidemic gii4 norovirus strains in uk and malawi role of surveillance of sporadic acute gastroenteritis in anticipating global epidemics,2017,United Kingdom,NA,NA,NA,NA,NA,NA
16,JA,Viviani,estimating the incidence of acute infectious intestinal disease in the community in the uk a retrospective telephone survey,2016,United Kingdom,NA,NA,NA,NA,NA,NA
17,JA,OBrien,agespecific incidence rates for norovirus in the community and presenting to primary healthcare facilities in the united kingdom,2016,United Kingdom,NA,NA,NA,NA,NA,NA
18,JA,Hansdotter,the incidence of acute gastrointestinal illness in sweden,2015,Sweden,NA,NA,NA,NA,NA,NA
19,JA,Gibbons,measuring underreporting and underascertainment in infectious disease datasets a comparison of methods,2015,United Kingdom,NA,NA,NA,NA,NA,NA
20,JA,Tam,the second study of infectious intestinal disease iid2 increased rates of recurrent diarrhoea in individuals aged 65 years and above,2014,United Kingdom,NA,NA,NA,NA,NA,NA
21,JA,Dalton,building influenza surveillance pyramids in near real time australia,2014,Australia,NA,NA,NA,NA,NA,NA
22,JA,David,assessing multiple foodborne waterborne and environmental exposures of healthy people to potential enteric pathogen sources effect of age gender season and recall period,2014,Canada,NA,NA,NA,NA,NA,NA
23,JA,Wilking,acute gastrointestinal illness in adults in germany a populationbased telephone survey,2014,Germany,NA,NA,NA,NA,NA,NA
24,JA,Risebro,contaminated small drinking water supplies and risk of infectious intestinal disease a prospective cohort study,2013,United Kingdom,NA,NA,NA,NA,NA,NA
