PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"20444246","Methods for determining disease burden and calibrating national surveillance data in the United Kingdom: the second study of infectious intestinal disease in the community (IID2 study)","O'Brien SJ, Rait G, Hunter PR, Gray JJ, Bolton FJ, Tompkins DS, McLauchlin J, Letley LH, Adak GK, Cowden JM, Evans MR, Neal KR, Smith GE, Smyth B, Tam CC, Rodrigues LC.","BMC Med Res Methodol. 2010 May 5;10:39. doi: 10.1186/1471-2288-10-39.","O'Brien SJ","BMC Med Res Methodol","2010","2010/05/07","PMC2886083","","10.1186/1471-2288-10-39"
"33849461","European data sources for computing burden of (potential) vaccine-preventable diseases in ageing adults","Méroc E, Fröberg J, Almasi T, Winje BA, Orrico-Sánchez A, Steens A, McDonald SA, Bollaerts K, Knol MJ.","BMC Infect Dis. 2021 Apr 13;21(1):345. doi: 10.1186/s12879-021-06017-7.","Méroc E","BMC Infect Dis","2021","2021/04/14","PMC8042717","","10.1186/s12879-021-06017-7"
"30683063","Norovirus strain types found within the second infectious intestinal diseases (IID2) study an analysis of norovirus circulating in the community","Harris JP, Iturriza-Gomara M, Allen DJ, Kelly S, O'Brien SJ.","BMC Infect Dis. 2019 Jan 25;19(1):87. doi: 10.1186/s12879-019-3706-z.","Harris JP","BMC Infect Dis","2019","2019/01/27","PMC6346499","","10.1186/s12879-019-3706-z"
"30267800","Social patterning of telephone health-advice for diarrhoea and vomiting: analysis of 24 million telehealth calls in England","Adams NL, Rose TC, Elliot AJ, Smith G, Morbey R, Loveridge P, Lewis J, Studdard G, Violato M, O'Brien SJ, Whitehead M, Taylor-Robinson DC, Hawker JI, Barr B.","J Infect. 2019 Feb;78(2):95-100. doi: 10.1016/j.jinf.2018.09.008. Epub 2018 Sep 26.","Adams NL","J Infect","2019","2018/09/30","PMC6428660","","10.1016/j.jinf.2018.09.008"
"30075030","A model for rapid, active surveillance for medically-attended acute gastroenteritis within an integrated health care delivery system","Schmidt MA, Groom HC, Naleway AL, Biggs C, Salas SB, Shioda K, Marsh Z, Donald JL, Hall AJ.","PLoS One. 2018 Aug 3;13(8):e0201805. doi: 10.1371/journal.pone.0201805. eCollection 2018.","Schmidt MA","PLoS One","2018","2018/08/04","PMC6075775","","10.1371/journal.pone.0201805"
"29928729","Model selection for seasonal influenza forecasting","Zarebski AE, Dawson P, McCaw JM, Moss R.","Infect Dis Model. 2017 Jan 10;2(1):56-70. doi: 10.1016/j.idm.2016.12.004. eCollection 2017 Feb.","Zarebski AE","Infect Dis Model","2017","2018/06/22","PMC5963331","","10.1016/j.idm.2016.12.004"
"29699520","A methodological framework for the evaluation of syndromic surveillance systems: a case study of England","Colón-González FJ, Lake IR, Morbey RA, Elliot AJ, Pebody R, Smith GE.","BMC Public Health. 2018 Apr 24;18(1):544. doi: 10.1186/s12889-018-5422-9.","Colón-González FJ","BMC Public Health","2018","2018/04/28","PMC5921418","","10.1186/s12889-018-5422-9"
"29268812","Norovirus transmission dynamics: a modelling review","Gaythorpe KAM, Trotter CL, Lopman B, Steele M, Conlan AJK.","Epidemiol Infect. 2018 Jan;146(2):147-158. doi: 10.1017/S0950268817002692. Epub 2017 Dec 22.","Gaythorpe KAM","Epidemiol Infect","2018","2017/12/23","PMC5851036","","10.1017/S0950268817002692"
"28958989","An Ontology to Improve Transparency in Case Definition and Increase Case Finding of Infectious Intestinal Disease: Database Study in English General Practice","de Lusignan S, Shinneman S, Yonova I, van Vlymen J, Elliot AJ, Bolton F, Smith GE, O'Brien S.","JMIR Med Inform. 2017 Sep 28;5(3):e34. doi: 10.2196/medinform.7641.","de Lusignan S","JMIR Med Inform","2017","2017/09/30","PMC5639210","","10.2196/medinform.7641"
"28645256","Socioeconomic status is associated with symptom severity and sickness absence in people with infectious intestinal disease in the UK","Rose TC, Adams NL, Barr B, Hawker J, O'Brien SJ, Violato M, Whitehead M, Taylor-Robinson DC.","BMC Infect Dis. 2017 Jun 23;17(1):447. doi: 10.1186/s12879-017-2551-1.","Rose TC","BMC Infect Dis","2017","2017/06/25","PMC5481911","","10.1186/s12879-017-2551-1"
