Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Méroc, E; Fröberg, J; Almasi, T; Winje, BA; Orrico-Sánchez, A; Steens, A; McDonald, SA; Bollaerts, K; Knol, MJ",,,,"Meroc, Estelle; Froberg, Janeri; Almasi, Timea; Winje, Brita Askeland; Orrico-Sanchez, Alejandro; Steens, Anneke; McDonald, Scott A.; Bollaerts, Kaatje; Knol, Mirjam J.",,,European data sources for computing burden of (potential) vaccine-preventable diseases in ageing adults,BMC INFECTIOUS DISEASES,,,,Article,,,,,,,,"BackgroundTo guide decision-making on immunisation programmes for ageing adults in Europe, one of the aims of the Vaccines and InfecTious diseases in the Ageing popuLation (IMI2-VITAL) project is to assess the burden of disease (BoD) of (potentially) vaccine-preventable diseases ((P)VPD). We aimed to identify the available data sources to calculate the BoD of (P)VPD in participating VITAL countries and to pinpoint data gaps. Based on epidemiological criteria and vaccine availability, we prioritized (P) VPD caused by Extra-intestinal pathogenic Escherichia coli (ExPEC), norovirus, respiratory syncytial virus, Staphylococcus aureus, and pneumococcal pneumonia.MethodsWe conducted a survey on available data (e.g. incidence, mortality, disability-adjusted life years (DALY), quality-adjusted life years (QALY), sequelae, antimicrobial resistance (AMR), etc.) among national experts from European countries, and carried out five pathogen-specific literature reviews by searching MEDLINE for peer-reviewed publications published between 2009 and 2019.ResultsMorbidity and mortality data were generally available for all five diseases, while summary BoD estimates were mostly lacking. Available data were not always stratified by age and risk group, which is especially important when calculating BoD for ageing adults. AMR data were available in several countries for S. aureus and ExPEC.ConclusionThis study provides an exhaustive overview of the available data sources and data gaps for the estimation of BoD of five (P) VPD in ageing adults in the EU/EAA, which is useful to guide pathogen-specific BoD studies and contribute to calculation of (P)VPDs BoD.","[Meroc, Estelle; Bollaerts, Kaatje] P95 Epidemiol & Pharmacovigilance, Koning Leopold III Laan 1, B-3001 Leuven, Belgium; [Froberg, Janeri] Radboud Univ Nijmegen, Med Ctr, Radboud Inst Mol Life Sci, Sect Paediat Infect Dis, Geert Grootepl 21, NL-6525 EZ Nijmegen, Netherlands; [Almasi, Timea] Syreon Res Inst, Mexikoi Str 65-A, H-1142 Budapest, Hungary; [Winje, Brita Askeland; Steens, Anneke] Norwegian Inst Publ Hlth, Dept Infect Control & Vaccine, POB 222, N-0213 Oslo, Norway; [Orrico-Sanchez, Alejandro] FISABIO Valencia Fdn Promot Hlth & Biomed Res, Vaccines Res Unit, Ave Catalunya,21, Valencia 46020, Spain; [McDonald, Scott A.; Knol, Mirjam J.] Natl Inst Publ Hlth & Environm RIVM, Ctr Infect Dis Control, POB 1, NL-3720 BA Bilthoven, Netherlands",Radboud University Nijmegen; Norwegian Institute of Public Health (NIPH); Netherlands National Institute for Public Health & the Environment,"Méroc, E (corresponding author), P95 Epidemiol & Pharmacovigilance, Koning Leopold III Laan 1, B-3001 Leuven, Belgium.",estelle.meroc@p-95.com,,,,,,,,3,3,,,,,,,,,,,APR 13,2021,21,1,,,,,,,345,10.1186/s12879-021-06017-7,http://dx.doi.org/10.1186/s12879-021-06017-7,,,,,,,,,,,,2024-11-27,WOS:000640390800001,View Full Record in Web of Science
J,"Brainard, J; Weston, D; Leach, S; Hunter, PR",,,,"Brainard, Julii; Weston, Dale; Leach, Steve; Hunter, Paul R.",,,Factors that influence treatment-seeking expectations in response to infectious intestinal disease: Original survey and multinomial regression,JOURNAL OF INFECTION AND PUBLIC HEALTH,,,,Article,,,,,,,,"Background: Infectious intestinal disease affects 25% of the UK population annually; 1 in 50 affected people consult health professionals about their illness. Aims: We tested if anticipated treatment-seeking decisions for suspected infectious intestinal disease could be related to emotional response, tolerance of symptoms, or beliefs about the consequential benefits and harms of seeking treatment (or not). Methods: Questionnaire survey of adults living in the UK with statistical analysis of responses. A vignette was presented about a hypothetical gastrointestinal illness. People stated their emotional reactions, expected actions in response and beliefs about possible benefits or harms from seeking treatment (or not getting treatment). Multinomial regression looked for predictors of anticipated behaviour. Results: People were inclined to consult a GP when they believed that seeking treatment would be beneficial and that its absence would be harmful. Seeking treatment was less anticipated if the condition was expected to improve quickly. Respondents were also more likely to consult if they strongly disliked fever or headache, and/or if the illness made them feel anxious or angry. Treatment-seeking (or lack of it) was not linked to harms from treatment-seeking, other specific symptoms and emotional responses. Conclusion: It was possible to link anticipated treatment-seeking behaviour to specific factors: expected prognosis, perceived benefits of seeking treatment, some emotions and some specific symptoms. (C) 2019 The Authors. Published by Elsevier Ltd on behalf of King Saud Bin Abdulaziz University for Health Sciences.","[Brainard, Julii; Hunter, Paul R.] Univ East Anglia, Norwich Med Sch, Norwich NR4 7TJ, Norfolk, England; [Weston, Dale; Leach, Steve] Publ Hlth England, Emergency Response Dept, Salisbury, Wilts, England",University of East Anglia; Public Health England,"Brainard, J (corresponding author), Univ East Anglia, Norwich Med Sch, Norwich NR4 7TJ, Norfolk, England.",j.brainard@uea.ac.uk,,,,,,,,2,3,,,,,,,,,,,APR,2020,13,4,,,,,502,508,,10.1016/j.jiph.2019.10.007,http://dx.doi.org/10.1016/j.jiph.2019.10.007,,,,,,,,,,,,2024-11-27,WOS:000524979400007,View Full Record in Web of Science
J,"Al Alkeem, F; Loney, T; Aziz, F; Blair, I; Sonnevend, A; Sheek-Hussein, M",,,,"Al Alkeem, F.; Loney, T.; Aziz, F.; Blair, I.; Sonnevend, A.; Sheek-Hussein, M.",,,"Prevalence and factors associated with infectious intestinal diseases in Ras Al Khaimah, United Arab Emirates, 2017: A population-based cross-sectional study",INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,,,,Article,,,,,,,,"Background: The United Arab Emirates (UAE) is a rapidly developing high-income country that has experienced significant population growth, urbanization, and improvements in the standard of living since its formation in 1971. Published estimates on the prevalence of infectious intestinal diseases (IID) in the UAE are scarce and exclusively based on hospital data. The aim of this study was to provide the first prevalence estimates of IID in the UAE. Methods: A population-based cross-sectional study design using a telephone-based questionnaire was used to estimate the IID prevalence in the previous 4 weeks in a representative sample of the Ras Al Khaimah (RAK) population from January to September 2017. Results: Data were collected from 1254 participants (57.3% male; 25.2% <18 years). The prevalence of IID was 4.2% in the 4 weeks prior to the interview. Multivariate logistic regression analysis identified that being female (odds ratio (OR) 2.4, 95% confidence interval (CI) 1.2-5.1) and having a middle-range monthly household income (approx. USD 4080-<6800: OR 5.42, 95% CI 1.15-25.48; approx. USD 6800-<9530: OR 7.13, 95% CI 1.47-34.57) were positively associated with IID. Age >= 6 years was negatively associated with IID (OR 0.95, 95% CI 0.90-0.99). Forty-nine percent of participants with an IID sought medical care and 20.8% took over-the-counter medication. Conclusions: This study provides the first population-based prevalence estimates of IID in the UAE, which are similar to those reported in China (4%), but lower than those reported in Canada (10%), the Netherlands (7%), and the USA (6%). (C) 2019 The Authors. Published by Elsevier Ltd on behalf of International Society for Infectious Diseases.","[Al Alkeem, F.; Aziz, F.; Blair, I.; Sheek-Hussein, M.] United Arab Emirates Univ, Coll Med & Hlth Sci, Inst Publ Hlth, POB 17666, Al Ain, U Arab Emirates; [Loney, T.] Mohammed Bin Rashid Univ Med & Hlth Sci, Coll Med, POB 505055, Dubai, U Arab Emirates; [Sonnevend, A.] United Arab Emirates Univ, Coll Med & Hlth Sci, Dept Microbiol & Immunol, POB 17666, Al Ain, U Arab Emirates",United Arab Emirates University; United Arab Emirates University,"Sheek-Hussein, M (corresponding author), United Arab Emirates Univ, Coll Med & Hlth Sci, Inst Publ Hlth, POB 17666, Al Ain, U Arab Emirates.",fatima.alalkeem@moh.gov.ae; tom.loney@mbru.ac.ae; rajafaisalaziz@live.com; iainblair51@gmail.com; agnes_sonnevend@uaeu.ac.ae; msheekhussein@uaeu.ac.ae,,,,,,,,1,1,,,,,,,,,,,AUG,2019,85,,,,,,188,194,,10.1016/j.ijid.2019.06.004,http://dx.doi.org/10.1016/j.ijid.2019.06.004,,,,,,,,,,,,2024-11-27,WOS:000477941400034,View Full Record in Web of Science
J,"Moss, R; Zarebski, AE; Dawson, P; Franklin, LJ; Birrell, FA; McCaw, JM",,,,"Moss, Robert; Zarebski, Alexander E.; Dawson, Peter; Franklin, Lucinda J.; Birrell, Frances A.; McCaw, James M.",,,Anatomy of a seasonal influenza epidemic forecast,COMMUNICABLE DISEASES INTELLIGENCE,,,,Article,,,,,,,,"Bayesian methods have been used to predict the timing of infectious disease epidemics in various settings and for many infectious diseases, including seasonal influenza. But integrating these techniques into public health practice remains an ongoing challenge, and requires close collaboration between modellers, epidemiologists, and public health staff. During the 2016 and 2017 Australian influenza seasons, weekly seasonal influenza forecasts were produced for cities in the three states with the largest populations: Victoria, New South Wales and Queensland. Forecast results were presented to Health Department disease surveillance units in these jurisdictions, who provided feedback about the plausibility and public health utility of these predictions. In earlier studies we found that delays in reporting and processing of surveillance data substantially limited forecast performance, and that incorporating climatic effects on transmission improved forecast performance. In this study of the 2016 and 2017 seasons, we sought to refine the forecasting method to account for delays in receiving the data, and used meteorological data from past years to modulate the force of infection. We demonstrate how these refinements improved the forecast's predictive capacity, and use the 2017 influenza season to highlight challenges in accounting for population and clinician behaviour changes in response to a severe season.","[Moss, Robert; McCaw, James M.] Univ Melbourne, Melbourne Sch Populat & Global Hlth, Modelling & Simulat Unit, Melbourne, Vic, Australia; [Zarebski, Alexander E.; McCaw, James M.] Univ Melbourne, Sch Math & Stat, Melbourne, Vic, Australia; [Dawson, Peter] Def Sci & Technol Grp, Melbourne, Vic, Australia; [Franklin, Lucinda J.] Victorian Govt Dept Hlth & Human Serv, Regulat Hlth Protect & Emergency Management Div, Hlth Protect Branch, Communicable Dis Sect, Melbourne, Vic, Australia; [Birrell, Frances A.] Dept Hlth, Prevent Div, Communicable Dis Branch, Epidemiol & Res Unit, Brisbane, Qld, Australia; [McCaw, James M.] Murdoch Childrens Res Inst, Parkville, Vic, Australia",University of Melbourne; University of Melbourne; Defence Science & Technology; Queensland Health; Murdoch Children's Research Institute,"Moss, R (corresponding author), Univ Melbourne, Melbourne Sch Populat & Global Hlth, Modelling & Simulat Unit, Melbourne, Vic, Australia.",,,,,,,,,7,7,,,,,,,,,,,MAR 15,2019,43,,,,,,,,,10.33321/cdi.2019.43.7,http://dx.doi.org/10.33321/cdi.2019.43.7,,,,,,,,,,,,2024-11-27,WOS:000461515900002,View Full Record in Web of Science
J,"Harris, JP; Iturriza-Gomara, M; Allen, DJ; Kelly, S; O'Brien, SJ",,,,"Harris, John P.; Iturriza-Gomara, Miren; Allen, David J.; Kelly, Susan; O'Brien, Sarah J.",,,Norovirus strain types found within the second infectious intestinal diseases (IID2) study an analysis of norovirus circulating in the community,BMC INFECTIOUS DISEASES,,,,Article,,,,,,,,"BackgroundNorovirus is the commonest cause of infectious intestinal disease (IID) worldwide. In the UK community incidence of norovirus has been estimated at 59/1000 population, equating to four million cases a year. Whilst norovirus infects people of all ages, a substantial burden occurs in infants and young children. The population of viruses found in sporadic cases among infants has been observed to be more diverse than that associated with outbreaks. In this study, we analysed norovirus-positive specimens collected during the second study of infectious intestinal diseases (IID2 Study) a national community cohort study conducted between April 2008 and August 2009 We examined the data for differences in circulating norovirus strains between two arms of a community cohort, and differences between genotypes and disease outcomes such as illness duration and symptom profiles.MethodsAnalysis was conducted to assess genetic diversity of noroviruses in the community. We also assessed differences in the cycle threshold (Ct) value, as a proxy for viral load, between norovirus genogroups and genotypes, and differences in reported symptoms or length of illness in relation to genogroup and genotype.ResultsThere were 477 samples where norovirus was detected. Whilst 85% of people recovered within two days for vomiting; diarrhoea symptoms were reported to day 4 for 83% of the cases, and 10% of people reported symptoms of diarrhoea lasting between five and six days. Both diarrhoea and vomiting symptoms lasted longer in children aged <5years compared to adults. There was a significantly higher proportion of GII.4 in samples obtained from the GP arm of the study (chi-square=17.8, p<0.001) compared to samples received via post in the self-reporting arm. In the latter group, the prevalence of GII.6 was significantly higher (chi-square=7.5, p<0.001).ConclusionsWe found that there is a difference in disease severity by age group. Children aged <5years had longer duration of illness, with 10% still having diarrhoea at seven days, and vomiting of between four and five days. The duration of illness reported is higher overall than one might expect for cases in the community in otherwise healthy individuals which has implications for infection control. No differences were observed in relation to duration of vomiting and or diarrhoea by genotype.","[Harris, John P.; O'Brien, Sarah J.] Univ Liverpool, Instutue Populat Hlth Sci, Liverpool, Merseyside, England; [Iturriza-Gomara, Miren; Kelly, Susan] Univ Liverpool, Inst Global Hlth, Liverpool, Merseyside, England; [Allen, David J.] London Sch Hyg & Trop Med, Liverpool, Merseyside, England; [Harris, John P.; Iturriza-Gomara, Miren; Allen, David J.; O'Brien, Sarah J.] NIHR HPRU Gastrointestinal Infect, Liverpool, Merseyside, England; [O'Brien, Sarah J.] Newcastle Univ, Sch Nat & Environm Sci, Modelling Evidence & Policy Res Grp, Newcastle Upon Tyne, Tyne & Wear, England",University of Liverpool; University of Liverpool; University of London; London School of Hygiene & Tropical Medicine; Newcastle University - UK,"Harris, JP (corresponding author), Univ Liverpool, Instutue Populat Hlth Sci, Liverpool, Merseyside, England.;Harris, JP (corresponding author), NIHR HPRU Gastrointestinal Infect, Liverpool, Merseyside, England.",john.harris@liverpool.ac.uk,,,,,,,,9,9,,,,,,,,,,,JAN 25,2019,19,,,,,,,,87,10.1186/s12879-019-3706-z,http://dx.doi.org/10.1186/s12879-019-3706-z,,,,,,,,,,,,2024-11-27,WOS:000456703200004,View Full Record in Web of Science
J,"Schmidt, MA; Groom, HC; Naleway, AL; Biggs, C; Salas, SB; Shioda, K; Marsh, Z; Donald, JL; Hall, AJ",,,,"Schmidt, Mark A.; Groom, Holly C.; Naleway, Allison L.; Biggs, Christianne; Salas, S. Bianca; Shioda, Kayoko; Marsh, Zachary; Donald, Judy L.; Hall, Aron J.",,,"A model for rapid, active surveillance for medically-attended acute gastroenteritis within an integrated health care delivery system",PLOS ONE,,,,Article,,,,,,,,"Background This study presents a novel methodology for estimating all-age, population-based incidence rates of norovirus and other pathogens that contribute to acute gastroenteritis in the United States using an integrated healthcare delivery system as a surveillance platform. Methods All cases of medically attended acute gastroenteritis within the delivery system were identified from April 1, 2014 through September 30, 2016. A sample of these eligible patients were selected to participate in two phone-based surveys and to self-collect a stool sample for laboratory testing. To ascertain household transmission patterns, information on household members with acute gastroenteritis was gathered from participants, and symptomatic household members were contacted to participate in a survey and provide stool sample as well. Results 54% of individuals who met enrollment criteria agreed to participate, and 76% of those individuals returned a stool sample. Among household members, 85% of eligible individuals agreed to participate, and 68% of those returned a stool sample. Participant demographics were similar to those of the eligible population, although minority racial/ethnic groups were somewhat underrepresented in the final sample. Conclusions This study demonstrates the feasibility of conducting acute infectious disease research within an integrated health care delivery system. The surveillance, sampling, recruitment, and data collection methods described here are broadly applicable to conduct baseline and epidemiological assessments, as well as for other research requiring representative samples of stool specimens.","[Schmidt, Mark A.; Groom, Holly C.; Naleway, Allison L.; Salas, S. Bianca; Donald, Judy L.] Kaiser Permanente Northwest, Ctr Hlth Res, Portland, OR 97227 USA; [Biggs, Christianne] Oregon Hlth Author, Publ Hlth Div, Oregon State Publ Hlth Lab, Hillsboro, OR USA; [Shioda, Kayoko; Marsh, Zachary; Hall, Aron J.] Ctr Dis Control & Prevent, Div Viral Dis, Atlanta, GA USA",Kaiser Permanente; Centers for Disease Control & Prevention - USA,"Schmidt, MA (corresponding author), Kaiser Permanente Northwest, Ctr Hlth Res, Portland, OR 97227 USA.",mark.a.schmidt@kpchr.org,,,,,,,,9,9,,,,,,,,,,,AUG 3,2018,13,8,,,,,,,e0201805,10.1371/journal.pone.0201805,http://dx.doi.org/10.1371/journal.pone.0201805,,,,,,,,,,,,2024-11-27,WOS:000440768100035,View Full Record in Web of Science
J,"Gaythorpe, KAM; Trotter, CL; Lopman, B; Steele, M; Conlan, AJK",,,,"Gaythorpe, K. A. M.; Trotter, C. L.; Lopman, B.; Steele, M.; Conlan, A. J. K.",,,Norovirus transmission dynamics: a modelling review,EPIDEMIOLOGY AND INFECTION,,,,Review,,,,,,,,"Norovirus is one of the leading causes of viral gastroenteritis worldwide and responsible for substantial morbidity, mortality and healthcare costs. To further understanding of the epidemiology and control of norovirus, there has been much recent interest in describing the transmission dynamics of norovirus through mathematical models. In this study, we review the current modelling approaches for norovirus transmission. We examine the data and methods used to estimate these models that vary structurally and parametrically between different epidemiological contexts. Many of the existing studies at population level have focused on the same case notification dataset, whereas models from outbreak settings are highly specific and difficult to generalise. In this review, we explore the consistency in the description of norovirus transmission dynamics and the robustness of parameter estimates between studies. In particular, we find that there is considerable variability in estimates of key parameters such as the basic reproduction number, which may mean that the effort required to control norovirus at the population level may currently be underestimated.","[Gaythorpe, K. A. M.; Trotter, C. L.; Conlan, A. J. K.] Univ Cambridge, Dept Vet Med, Madingley Rd, Cambridge CB3 0ES, England; [Lopman, B.; Steele, M.] Emory Univ, Dept Epidemiol, Atlanta, GA 30322 USA",University of Cambridge; Emory University,"Gaythorpe, KAM (corresponding author), Univ Cambridge, Dept Vet Med, Madingley Rd, Cambridge CB3 0ES, England.",kamg2@cam.ac.uk,,,,,,,,35,40,,,,,,,,,,,JAN,2018,146,2,,,,,147,158,,10.1017/S0950268817002692,http://dx.doi.org/10.1017/S0950268817002692,,,,,,,,,,,,2024-11-27,WOS:000423547900002,View Full Record in Web of Science
J,"Justus, BP; Claudia, S; Kathrin, S; Daniel, M",,,,"Justus, Bless Philipp; Claudia, Schmutz; Kathrin, Sartori; Daniel, Maeusezahl",,,"Time trends of positivity rates from foodborne pathogen testing in Switzerland, 2003 to 2012",SWISS MEDICAL WEEKLY,,,,Article,,,,,,,,"BACKGROUND: Campylobacteriosis and salmonellosis are important foodborne diseases in Europe, including in Switzerland. In 2014, notification rates for Switzerland were 92.9 per 100 000 population for campylobacteriosis and 15.2 per 100 000 population for salmonellosis. These notification rates originate from laboratory-based surveillance whereby positive test results are reported to the National Notification System for Infectious Diseases. Consequently, notification rates do not directly correspond to the disease burden among the population as the number of positive tests depends on patients' healthcare-seeking behaviour, stool sampling rates and other factors. METHODS: We assessed laboratory positivity rates (proportion of positive tests among all tests performed) of diagnostic tests for Campylobacter and Salmonella from five private laboratories in Switzerland between 2003 and 2012. We analysed demographic characteristics, temporal and spatial distribution of test numbers and positivity rates. Predictors for a positive test and disease seasonality were assessed with logistic regression analyses. RESULTS: A total of 135 122 (13 095 positive) Campylobacter tests and 136 997 (2832 positive) Salmonella tests were obtained with positive tests corresponding to 20.4% and 17.2% of notified campylobacteriosis and salmonellosis cases, respectively. The number of tests conducted annually increased for both pathogens by 51% from 2003 to 2012. Annual positivity rates of Campylobacter increased from 7.6 to 11.1% and rates of Salmonella decreased from 2.7 to 1.5%. The largest increases in annual Campylobacter positivity rates were observed for patients older than 85 years (+ 193.7%), followed by children aged 5-9 years (+ 131.9%). Positivity rates and test numbers for both diseases by month or calendar week showed a distinct seasonality, with peak rates for Salmonella occurring in autumn and for Campylobacter in summer and at the turn of the year. These findings were independent of patients' age and sex. CONCLUSIONS: Both positivity rates and notification rates showed increasing trends for Campylobacter and decreasing trends for Salmonella, suggesting that these trends reflect changes in disease epidemiology at population level. The continuous assessment of positivity rates remains important to appropriately interpret changes observed in the notification system especially considering the increasing use of multiplex polymerase chain reaction test panels where multiple pathogens are tested simultaneously.","[Justus, Bless Philipp; Claudia, Schmutz; Kathrin, Sartori; Daniel, Maeusezahl] Swiss Trop & Publ Hlth Inst, Basel, Switzerland; [Justus, Bless Philipp; Claudia, Schmutz; Kathrin, Sartori; Daniel, Maeusezahl] Univ Basel, Basel, Switzerland",University of Basel; Swiss Tropical & Public Health Institute; University of Basel,"Daniel, M (corresponding author), Socinstr 57, CH-4002 Basel, Switzerland.",daniel.maeusezahl@swis-stph.ch,,,,,,,,1,1,,,,,,,,,,,DEC 18,2017,147,,,,,,,,w14569,10.4414/smw.2017.14569,http://dx.doi.org/10.4414/smw.2017.14569,,,,,,,,,,,,2024-11-27,WOS:000422954400004,View Full Record in Web of Science
J,"Rose, TC; Adams, NL; Barr, B; Hawker, J; O'Brien, SJ; Violato, M; Whitehead, M; Taylor-Robinson, DC",,,,"Rose, Tanith C.; Adams, Natalie L.; Barr, Benjamin; Hawker, Jeremy; O'Brien, Sarah J.; Violato, Mara; Whitehead, Margaret; Taylor-Robinson, David C.",,,Socioeconomic status is associated with symptom severity and sickness absence in people with infectious intestinal disease in the UK,BMC INFECTIOUS DISEASES,,,,Article,,,,,,,,"Background: The burden of infectious intestinal disease (IID) in the UK is substantial. Negative consequences including sickness absence are common, but little is known about the social patterning of these outcomes, or the extent to which they relate to disease severity. Methods: We performed a cross-sectional analysis using IID cases identified from a large population-based survey, to explore the association between socioeconomic status (SES) and symptom severity and sickness absence; and to assess the role of symptom severity on the relationship between SES and absence. Regression modelling was used to investigate these associations, whilst controlling for potential confounders such as age, sex and ethnicity. Results: Among 1164 cases, those of lower SES versus high had twice the odds of experiencing severe symptoms (OR 2.2, 95% CI;1.66-2.87). Lower SES was associated with higher odds of sickness absence (OR 1.8, 95% CI;1.26-2.69), however this association was attenuated after adjusting for symptom severity (OR 1.4, 95% CI; 0.92-2.07). Conclusions: In a large sample of IID cases, those of low SES versus high were more likely to report severe symptoms, and sickness absence; with greater severity largely explaining the higher absence. Public health interventions are needed to address the unequal consequences of IID identified.","[Rose, Tanith C.; Adams, Natalie L.; Barr, Benjamin; Hawker, Jeremy; O'Brien, Sarah J.; Violato, Mara; Whitehead, Margaret; Taylor-Robinson, David C.] NIHR Hlth Protect Res Unit Gastrointestinal Infec, Liverpool, Merseyside, England; [Rose, Tanith C.; Adams, Natalie L.; Barr, Benjamin; O'Brien, Sarah J.; Whitehead, Margaret; Taylor-Robinson, David C.] Univ Liverpool, Dept Publ Hlth & Policy, Liverpool, Merseyside, England; [Adams, Natalie L.; Hawker, Jeremy] Publ Hlth England, Natl Infect Serv, London, England; [Violato, Mara] Univ Oxford, Hlth Econ Res Ctr, Oxford, England; [Rose, Tanith C.] Univ Liverpool, Dept Publ Hlth, Whelan Bldg, Liverpool L69 3GB, Merseyside, England; [Rose, Tanith C.] Univ Liverpool, Policy Inst Psychol Hlth & Soc, Whelan Bldg, Liverpool L69 3GB, Merseyside, England",University of Liverpool; Public Health England; University of Oxford; University of Liverpool; University of Liverpool,"Rose, TC (corresponding author), NIHR Hlth Protect Res Unit Gastrointestinal Infec, Liverpool, Merseyside, England.;Rose, TC (corresponding author), Univ Liverpool, Dept Publ Hlth & Policy, Liverpool, Merseyside, England.",Tanith.Rose@liverpool.ac.uk,,,,,,,,14,16,,,,,,,,,,,JUN 23,2017,17,,,,,,,,447,10.1186/s12879-017-2551-1,http://dx.doi.org/10.1186/s12879-017-2551-1,,,,,,,,,,,,2024-11-27,WOS:000404337500005,View Full Record in Web of Science
J,"Harris, JP; Iturriza-Gomara, M; O'Brien, SJ",,,,"Harris, John P.; Iturriza-Gomara, Miren; O'Brien, Sarah J.",,,Re-assessing the total burden of norovirus circulating in the United Kingdom population,VACCINE,,,,Article,,,,,,,,"The second Infectious Intestinal Diseases study (IID2) estimated the incidence of norovirus in the UK at 47/1000 population (three million cases annually). Clinically significant norovirus was defined using a cycle threshold (ct) value of <30; a more stringent cut-off than used in diagnostic laboratories. The low infectious dose of norovirus means asymptomatic individuals potentially contribute to ongoing transmission. Using a less stringent but diagnostically relevant threshold increases the estimation of the population burden of norovirus infection by around 26% to 59/1000 person years (95% CI 52.32-64.98), equating to 3.7 million norovirus infections annually (3.3-4.1 million). With possible vaccines on the horizon for norovirus, having a good estimate of the total burden of norovirus infection, as well as symptomatic disease will be useful in helping to guide vaccination policy when candidate vaccines become available. (C) 2017 The Author(s). Published by Elsevier Ltd.","[Harris, John P.; Iturriza-Gomara, Miren; O'Brien, Sarah J.] Univ Liverpool, NIHR HPRU, Gastrointestinal Infect, Liverpool, Merseyside, England",University of Liverpool,"Harris, JP (corresponding author), Univ Liverpool, Farr Inst HeRC, 2nd Floor,Block F,Waterhouse Buildings, Liverpool L69 3GL, Merseyside, England.",john.harris@liverpool.ac.uk,,,,,,,,15,17,,,,,,,,,,,FEB 7,2017,35,6,,,,,853,855,,10.1016/j.vaccine.2017.01.009,http://dx.doi.org/10.1016/j.vaccine.2017.01.009,,,,,,,,,,,,2024-11-27,WOS:000394196000002,View Full Record in Web of Science
